,lon,lat
0,151.16642264,-33.74599354
1,152.91288218,-29.69666119
2,147.5904793,-34.87124489
3,150.65943623,-32.38083714
4,150.62300533,-35.1007841
5,141.45904959,-31.95902878
6,151.75018337,-32.76462686
7,147.97003712,-29.43695779
8,148.21667056,-32.73584129
9,144.96156797,-35.54924629
10,153.58592508,-28.66118241
11,152.49225791,-31.44995716
12,149.5035153,-35.5866002
13,150.63482241,-31.30192697
14,150.86904739,-33.98327489
15,149.54429027,-33.39171078
16,146.92463889,-36.06168345
17,149.96626723,-36.72038746
18,150.50800378,-34.36172672
19,149.78582943,-30.33029065
20,146.0649327,-34.27684146
21,152.50217856,-32.18672764
22,151.11411214,-29.78383828
23,151.3820834,-33.46493905
24,148.6695367,-31.71616481
25,150.82631045,-34.56797311
26,150.89112726,-33.68836873
27,148.66945058,-33.84961911
28,146.37812521,-30.74669564
29,153.10360317,-30.31281851
30,151.66927714,-30.5128975
31,142.06680378,-34.1169775
32,151.02593,-33.90993223
33,150.31155592,-33.68635756
34,149.58373052,-32.60522117
35,148.56626872,-36.43812881
36,150.20852767,-35.71252601
37,149.71370515,-34.74476021
38,151.66072103,-33.02225011
39,148.61811409,-32.25377033
40,151.34048837,-32.84464574
41,146.78609101,-33.7208914
42,147.91574666,-35.32616508
43,153.53383779,-28.21064599
44,152.57179786,-28.86258704
45,149.15530617,-33.41485746
46,153.30045702,-28.81475845
47,151.16182391,-33.87439633
48,152.89930766,-31.44810621
49,150.41134286,-28.80493012
50,151.47079127,-33.36212835
51,145.80427087,-31.50063118
52,148.36558012,-34.59832043
53,148.90138207,-34.83728823
54,153.33830345,-29.42940306
55,146.24708567,-35.50513971
56,153.01519441,-30.89351963
57,152.06157895,-32.73791267
58,149.839233,-29.45813934
59,147.1672071,-31.56024854
60,143.58441575,-34.60082876
61,144.8281919,-34.4783191
62,145.62098958,-35.84670535
63,147.36439242,-35.13181157
64,148.17286312,-33.13480138
65,151.29185287,-33.68587847
66,150.67586162,-33.77084197
67,146.8780046,-34.38648795
68,151.7011775,-32.93130089
69,150.25404668,-30.99597493
70,151.12597289,-33.9675089
71,150.83019572,-34.48123403
72,150.76518309,-34.01060765
73,150.91538021,-31.09462813
74,149.39080322,-31.5766053
75,151.25785303,-33.8892023
76,150.59818203,-34.8738987
77,144.03998631,-29.72395604
78,150.86742905,-32.03805308
79,152.43982042,-31.89654786
80,151.00192271,-33.81755482
81,153.18627576,-30.09981554
82,149.21369979,-36.90793475
83,144.18707821,-35.58396454
84,149.14319138,-36.22502144
85,150.45880629,-35.34246509
86,149.4987908,-33.81420185
87,143.47052394,-31.56166129
88,145.56710912,-33.46768284
89,151.10525994,-33.81503814
90,151.54213977,-32.71830164
91,146.40713108,-34.53024684
92,146.38283457,-35.99294224
93,147.29447871,-34.24263515
94,152.02736471,-31.12744743
95,144.75049494,-36.09049723
96,151.27854868,-33.74821276
97,149.98090292,-32.85201518
98,150.11864037,-36.21191551
99,147.98861601,-32.02970456
100,148.92469059,-32.52474389
101,150.03285307,-33.34069201
102,149.44192408,-30.225531
103,149.22803318,-35.36654629
104,146.70217704,-35.20211315
105,151.16422654,-32.55621201
106,150.57920665,-30.35495888
107,152.00096611,-29.04675689
108,142.41591511,-32.35201199
109,153.56810898,-28.84444815
110,151.94264033,-32.03219664
111,153.3677231,-28.34181861
112,147.50050821,-33.41209427
113,150.05907882,-34.6931528
114,159.0661071,-31.5265168
115,146.39488516,-32.99325375
116,148.70158822,-34.49027404
117,151.04857823,-33.71982928
118,152.52801138,-28.4126019
119,151.57590123,-33.15136879
120,152.68682926,-30.33868102
121,148.1969696,-33.91090749
122,150.56802507,-29.87023017
123,150.64228052,-33.89416193
124,153.04302093,-28.85647621
125,151.12350311,-30.80410395
126,149.89445077,-36.8904423
127,150.81725095,-34.0666493
128,152.72664468,-31.44561036
129,146.99261035,-35.62508916
130,142.75638779,-34.51991007
131,152.96028805,-30.66447885
132,150.43313483,-34.47203992
133,150.69528064,-31.50514192
134,149.46363279,-34.46537728
135,152.98867777,-28.59334563
136,149.29138862,-31.26934687
137,149.61727424,-28.89391926
138,149.99758393,-35.2073669
139,153.10667143,-30.21094271
140,148.11392849,-30.04429207
141,152.84144117,-31.08370224
142,149.09659103,-33.27657741
143,147.99825785,-35.86415003
144,151.01530574,-34.0540453
145,146.74443338,-29.57192128
146,144.35079838,-32.95151723
147,141.87796515,-29.70646465
148,147.38239438,-32.28458332
149,149.72636165,-31.81835394
150,146.55489706,-34.75772187
151,148.9214541,-30.3130009
152,147.3302815,-35.73532705
153,150.89621224,-32.26501128
154,146.00804723,-35.97504235
155,152.80127558,-31.61342329
156,148.00314725,-33.38180086
157,150.71465767,-33.5722127
158,151.13641305,-34.04861747
159,149.83527057,-33.48562228
160,151.70540963,-32.59375715
161,151.11116069,-33.69229459
162,150.58436143,-34.22019782
163,149.87765042,-37.07670236
164,147.54527681,-34.44247855
165,151.51601661,-33.2463225
166,148.66379618,-33.56884956
167,150.9513062,-33.70150925
168,150.85043478,-33.91678204
169,151.04194333,-33.8548878
170,153.50918874,-28.53095196
171,148.99772914,-28.99430778
172,151.63709052,-32.92062427
173,152.2271403,-32.38126197
174,146.06632783,-34.53528305
175,147.66094738,-32.82717823
176,148.24111604,-32.24178322
177,150.78466367,-33.78217264
178,148.38761126,-33.49302449
179,148.01293206,-34.63124258
180,150.71757029,-30.75369805
181,150.9280579,-34.30663464
182,150.59368963,-33.7124471
183,147.20816657,-33.91722534
184,153.36857959,-29.0641481
185,151.6634205,-30.21036214
